image_name,ground_truth,svm_preds,nn_preds,nn_score_0,nn_score_1,nn_score_2,nn_score_3,nn_score_4,top_2_difference_under_0.02
1013.jpg,4,3,2,4.6405847e-36,0.0,0.000109559456,8.4609955e-09,8.307006e-31,True
1014.jpg,4,0,0,1.0,0.0,1.5374038e-31,0.9999988,1.1108669e-30,True
1014.jpg,4,0,0,1.0,4.0947286e-26,0.0,0.0024099879,1.4015993e-34,False
1016.jpg,0,0,0,1.0,0.0,3.0674848e-21,0.00039432445,3.7926984e-35,False
1016.jpg,4,4,3,0.0,6.854858e-37,8.0884575e-24,0.0017731315,8.0773107e-28,True
1017.jpg,0,0,0,1.0,1.626458e-37,1.1549429e-22,2.374458e-06,2.4288992e-33,False
1017.jpg,4,3,3,8.1174472e-25,1.3234096e-32,0.0,1.5834397e-13,6.024559e-39,True
1018.jpg,0,0,0,1.0,2.6520047e-21,2.9403751e-22,2.482267e-22,8.119176e-34,False
1018.jpg,4,3,3,5.2420325e-12,1.1895952e-06,0.0,0.0011570653,1.4366428e-29,True
1019.jpg,4,4,2,0.0,0.0,5.8578205e-09,3.784656e-16,9.6364746e-32,True
102.jpg,0,0,0,0.45516703,7.167296e-37,9.431557e-21,5.2252046e-11,1.5136418e-26,False
1020.jpg,4,2,2,4.8530524e-17,2.514279e-29,1.010769e-08,2.22548e-15,1.8109871e-30,True
1020.jpg,4,2,3,4.2496043e-17,1.0475929e-12,0.00021073992,0.9999945,1.5315783e-25,False
1021.jpg,4,2,2,1.93795e-26,8.712427e-20,0.00011739547,1.8368378e-19,9.28667e-31,True
1022.jpg,4,3,0,0.9981164,7.812774e-21,0.0007206471,1.5172606e-11,2.7731367e-27,False
1022.jpg,4,3,3,9.156012e-19,2.5884598e-19,9.6644e-09,0.99508107,7.691064e-28,False
1023.jpg,4,4,1,0.0,3.1133565e-09,0.0,1.6367343e-14,1.4326666e-33,True
1024.jpg,4,3,3,0.0,1.10481e-13,0.0,0.007193849,5.315413e-33,True
1026.jpg,4,1,1,8.087705e-08,0.9999931,0.0,7.02848e-22,1.6412184e-35,False
1026.jpg,4,3,3,3.4680168e-09,1.8234727e-29,1.657021e-35,1.0,3.0771124e-25,False
1028.jpg,0,2,0,9.393515e-10,3.9139354e-16,1.3534592e-19,1.0622432e-15,3.4701482e-31,True
1028.jpg,4,3,3,0.0,3.997919e-20,3.3957868e-20,6.928226e-08,2.1750812e-36,True
1029.jpg,0,0,0,1.0,0.0,1.1520468e-23,6.226646e-16,1.1492909e-37,False
1029.jpg,4,3,3,0.0,0.0,0.0,1.0,0.0,False
103.jpg,2,3,2,1.12965145e-17,8.425731e-38,0.65009207,0.4779729,2.4516905e-38,False
1031.jpg,4,4,0,0.8770075,0.0,1.3954219e-26,1.36635695e-17,9.703347e-33,False
1032.jpg,2,2,2,2.019479e-21,1.5630227e-36,1.0,4.489051e-13,9.2103256e-38,False
1032.jpg,4,4,1,1.38565e-20,1.33989354e-17,1.9155022e-35,4.588324e-28,1.9428274e-34,True
1033.jpg,4,0,3,1.6130813e-10,3.448177e-39,6.1728944e-22,2.8964618e-07,2.3825824e-34,True
1034.jpg,0,4,3,0.0,4.26294e-22,1.7370064e-28,6.74988e-06,9.591846e-31,True
1034.jpg,4,2,3,1.6954514e-25,2.6226447e-31,1.2049036e-07,0.9989298,8.264344e-29,False
1036.jpg,0,0,0,1.0,7.574564e-37,2.8290887e-16,4.2642285e-09,8.481748e-30,False
1037.jpg,4,4,0,1.0737396e-12,2.5182184e-26,0.0,9.558587e-20,4.4862686e-32,True
1038.jpg,4,4,3,9.799078e-21,3.2221305e-32,1.3980839e-29,2.0138505e-11,9.316029e-35,True
1039.jpg,0,3,0,3.0728218e-06,3.3598488e-28,7.173775e-23,2.6904706e-14,7.145869e-36,True
104.jpg,3,2,3,9.687452e-16,0.0,0.53884,0.9991346,0.0,False
1040.jpg,4,3,3,9.2796036e-20,5.07708e-16,1.3332154e-38,0.999961,6.268321e-26,False
1040.jpg,4,3,3,7.720322e-33,1.3702616e-24,6.8965977e-19,0.99998593,2.7134685e-27,False
1040.jpg,4,0,0,1.0,1.1134308e-35,5.4262984e-23,3.009719e-07,2.090825e-33,False
1041.jpg,4,4,3,0.0,8.222586e-36,1.6552522e-35,1.0,4.861531e-35,False
1042.jpg,4,3,3,0.0,6.861881e-11,0.0,0.007857458,5.6768276e-31,True
1043.jpg,0,2,0,0.05024398,4.574221e-13,1.6810978e-05,3.0623616e-07,8.624581e-32,False
1044.jpg,4,1,1,9.785619e-12,0.9999963,0.0,7.1634435e-07,1.252482e-32,False
1044.jpg,4,3,3,0.0,0.0,1.7705459e-05,0.10066569,2.2634349e-29,False
1045.jpg,0,3,3,9.890664e-12,6.822523e-33,0.0052409694,0.8728018,1.034781e-25,False
1045.jpg,4,4,3,1.3561967e-29,4.3786246e-29,2.7333028e-33,6.259948e-10,6.506473e-33,True
1046.jpg,2,2,2,1.6874e-24,1.9335053e-33,1.0,5.6223566e-08,1.1353727e-37,False
1046.jpg,4,2,3,0.0,7.7072725e-29,0.0008585431,0.99868125,0.0,False
1047.jpg,0,4,3,7.660852e-19,3.1823302e-34,0.0,1.3330072e-15,5.8720954e-35,True
1047.jpg,4,2,0,0.9999863,1.5813593e-33,0.03176231,3.7093124e-11,1.9380796e-37,False
1048.jpg,4,3,3,2.610158e-32,4.7939082e-35,1.2183943e-20,1.0,1.0640966e-30,False
1049.jpg,4,3,3,0.0006322927,2.3397484e-24,1.1879396e-11,0.00090174907,2.8460195e-30,True
1049.jpg,4,3,3,3.2803565e-11,0.0,3.338766e-14,0.030328136,2.4293733e-32,False
105.jpg,2,2,2,1.0444505e-31,2.725851e-23,1.0,0.9999964,4.0986768e-29,True
1050.jpg,4,3,2,0.0,5.2263476e-31,8.211368e-05,6.0761107e-05,0.0,True
1050.jpg,4,3,2,5.558067e-33,0.0,0.47237724,0.00014481529,0.0,False
1051.jpg,4,3,3,2.9183633e-28,0.0,5.875783e-38,1.0,1.1871076e-31,False
1052.jpg,3,3,3,0.0,1.5403762e-21,2.8428076e-30,1.0,5.563868e-37,False
1053.jpg,0,3,3,1.4365452e-20,2.302638e-18,3.4205655e-07,1.0,1.4072617e-27,False
1053.jpg,4,3,3,0.0083095245,0.0,1.3741271e-28,0.9999999,1.2416803e-29,False
1055.jpg,4,3,1,2.9095036e-21,0.00021566937,4.1281582e-30,5.4403746e-22,4.972199e-31,True
1055.jpg,4,3,3,1.7489811e-13,2.3039193e-19,3.4852974e-06,0.0016653911,5.4980093e-33,True
1055.jpg,4,3,3,2.3152094e-23,8.692178e-35,7.935664e-19,0.08003134,2.0415966e-33,False
1057.jpg,0,3,3,6.4855274e-12,3.952902e-24,1.8168821e-08,0.99999094,3.054201e-26,False
1057.jpg,4,3,2,0.0006555235,8.1448895e-27,0.051978346,1.4087689e-07,9.190657e-26,False
106.jpg,2,3,3,1.4942944e-21,4.100134e-35,2.9378115e-12,0.99999905,2.5645375e-34,False
1060.jpg,4,0,0,1.0,8.933133e-35,9.364728e-22,7.075727e-06,8.1480115e-31,False
1061.jpg,4,4,3,2.5622796e-33,1.3238064e-35,1.488639e-21,2.4082182e-15,1.6242205e-36,True
1062.jpg,3,3,3,5.6793586e-32,1.0325406e-19,3.636561e-07,0.9999995,3.593829e-27,False
1063.jpg,0,0,0,1.0,0.0,1.8068445e-10,4.433301e-13,2.889953e-32,False
1064.jpg,1,1,1,4.807253e-22,1.0,2.7889476e-32,5.0529715e-29,2.6819853e-37,False
1064.jpg,4,1,1,0.0,1.0,1.5538744e-35,2.315617e-22,5.160081e-24,False
1065.jpg,4,0,0,1.8667354e-06,0.0,1.5019698e-28,2.4022548e-11,1.8137942e-30,True
1066.jpg,0,3,3,0.0021425835,5.9968332e-18,1.9478682e-17,0.5701518,1.7562462e-23,False
1066.jpg,4,3,0,0.0017777695,0.0,4.695763e-09,1.7791624e-20,3.3900323e-32,True
1066.jpg,4,0,0,1.0,5.5109974e-29,3.526613e-30,1.9203703e-06,1.1477148e-35,False
1068.jpg,4,1,1,3.1173822e-22,0.5542944,1.4006049e-12,3.698235e-11,1.8168336e-38,False
1068.jpg,4,2,2,3.5601555e-26,2.3807162e-37,1.0,0.0029410867,5.4613038e-33,False
1069.jpg,4,3,3,1.1628603e-15,0.0,1.8442318e-33,0.971961,1.7059626e-31,False
1069.jpg,4,3,2,9.927193e-13,1.3358712e-18,9.1591675e-05,7.4773646e-07,1.0276648e-25,True
1069.jpg,4,0,1,9.089834e-31,1.9580314e-08,3.6919896e-19,1.4266644e-15,1.9503507e-33,True
107.jpg,2,2,2,1.6250263e-21,9.8766325e-17,1.0,4.8775438e-20,1.7417763e-29,False
1070.jpg,4,4,1,5.7535064e-37,0.9846192,0.0,6.787796e-16,1.4500899e-27,False
1070.jpg,4,3,3,5.717853e-26,2.1728018e-20,6.8034026e-08,0.95193845,5.0143046e-27,False
1070.jpg,4,3,3,8.244432e-17,8.417906e-27,2.328661e-33,0.99956363,1.8323509e-35,False
1071.jpg,4,1,1,1.1458014e-38,1.0,7.271799e-25,3.6091567e-11,4.348747e-28,False
1072.jpg,4,3,3,8.912272e-34,1.9516738e-27,1.3739979e-06,1.0,3.3879933e-30,False
1072.jpg,4,4,3,1.7562106e-33,1.02120455e-26,1.2113753e-09,1.7919708e-09,5.69848e-31,True
1072.jpg,4,2,2,0.0,0.0,1.0,0.002275978,4.48043e-35,False
1073.jpg,0,0,0,1.0,7.6981814e-32,0.0,0.0013040743,1.2062474e-32,False
1074.jpg,4,3,1,0.0,2.9958208e-10,0.0,1.5978288e-10,3.433221e-35,True
1074.jpg,4,0,0,0.9999584,1.5199914e-38,4.8525764e-15,0.19769505,1.516199e-37,False
1074.jpg,4,4,0,0.17264886,0.0,5.7890264e-34,4.144673e-18,2.9067932e-31,False
1075.jpg,4,3,3,5.0109227e-26,9.261187e-33,0.0,1.0,6.3596794e-33,False
1076.jpg,4,4,3,3.1661783e-18,2.896958e-27,5.3868108e-20,2.6379679e-15,2.1622726e-38,True
1077.jpg,3,0,3,1.6426806e-07,2.5164868e-36,1.9103588e-19,0.6396218,1.396727e-33,False
1077.jpg,4,3,3,5.1604304e-26,2.6421366e-23,0.01771449,1.0,1.3204514e-29,False
1078.jpg,4,3,3,7.66092e-39,2.7727384e-17,4.3727457e-38,0.9999268,1.0989856e-29,False
1078.jpg,4,3,0,0.00010877818,1.5481795e-24,1.9743202e-10,4.694449e-06,8.794311e-33,True
1078.jpg,4,3,3,0.0,6.0390007e-34,2.1182715e-12,1.0,2.1854844e-30,False
1079.jpg,4,4,3,5.1428535e-29,1.8304106e-33,9.925271e-11,0.9995055,4.6748006e-38,False
108.jpg,1,3,0,0.9985708,0.99469984,1.2617443e-36,1.9245361e-32,1.1919164e-25,True
1080.jpg,4,3,3,5.889272e-30,0.0,9.273522e-34,0.99999833,5.831093e-34,False
1080.jpg,4,1,1,4.4606658e-12,0.9998696,5.8854674e-18,1.4664799e-17,1.3465846e-33,False
1081.jpg,4,3,3,1.7965275e-11,0.0,2.1511538e-19,0.00019722602,2.247229e-34,True
1081.jpg,4,3,0,1.0,1.2548949e-13,4.3389332e-30,1.66472e-26,7.209981e-25,False
1082.jpg,4,3,3,0.0,0.0,3.7324094e-24,1.0,4.751612e-36,False
1084.jpg,4,4,3,2.131618e-12,2.6046585e-31,0.0,6.12153e-10,8.2600583e-29,True
1084.jpg,4,3,3,1.9432687e-15,1.3721087e-38,7.462876e-23,8.2475926e-05,3.5325066e-32,True
1085.jpg,4,3,3,1.4157901e-13,0.0,7.7765364e-19,0.81068534,2.2050399e-36,False
1086.jpg,4,2,2,3.1961644e-33,4.0012926e-19,7.3310413e-10,6.7260516e-12,7.0049414e-25,True
1087.jpg,1,1,1,0.0,1.0,0.0,1.1645868e-23,8.000191e-27,False
1087.jpg,4,1,1,0.0,1.0,0.0,1.1645868e-23,8.000191e-27,False
1089.jpg,0,3,3,4.6401093e-35,1.8906225e-29,1.7749436e-30,1.0,6.913405e-26,False
1089.jpg,4,3,0,0.46808305,4.0112733e-26,2.7871338e-21,0.30962902,4.5938247e-35,False
1090.jpg,4,4,3,6.2168e-15,9.33988e-18,3.1901778e-29,3.6397502e-13,7.307175e-31,True
1091.jpg,4,3,3,2.8064e-22,3.271089e-16,2.4198983e-20,3.9551356e-08,6.143636e-33,True
1091.jpg,4,3,3,0.0,0.0,5.344396e-37,0.004687065,2.6309657e-28,True
1091.jpg,4,3,3,2.8064e-22,3.271089e-16,2.4198983e-20,3.9551356e-08,6.143636e-33,True
1092.jpg,4,3,3,1.5642993e-36,4.716352e-25,0.0,3.977618e-24,4.473081e-30,True
1093.jpg,4,1,1,8.013846e-19,1.0,0.0,2.970779e-17,4.3433104e-35,False
1095.jpg,4,3,3,3.218878e-38,0.0,1.7849461e-10,0.10804163,7.4670845e-32,False
1096.jpg,0,0,0,1.0,1.2335533e-32,1.3647185e-21,1.5960216e-15,3.6113693e-32,False
1097.jpg,4,4,3,0.0,2.1561817e-19,3.0126353e-27,7.533441e-06,1.0963762e-30,True
1098.jpg,4,3,3,0.0,1.8111939e-08,0.0,9.7681834e-08,2.1737917e-32,True
1099.jpg,4,3,1,2.8265355e-36,3.6402413e-14,5.895744e-23,6.0172827e-15,0.0,True
110.jpg,2,2,2,9.832683e-25,3.3005876e-13,0.022386316,1.3876883e-10,4.1450734e-23,False
1100.jpg,0,0,0,1.0,1.1419589e-35,2.362115e-24,9.577066e-14,2.3127713e-32,False
1100.jpg,4,1,1,6.5260445e-30,1.0,0.0,4.44472e-14,1.1496967e-33,False
1103.jpg,4,3,3,1.9945173e-07,2.291381e-08,1.4986697e-25,0.99999976,8.624795e-28,False
1104.jpg,4,4,3,0.0,4.2853423e-22,0.0,3.871657e-13,4.8445628e-32,True
1105.jpg,4,4,3,1.8132896e-22,9.262088e-22,2.429429e-32,7.2204234e-06,3.6943925e-30,True
1106.jpg,0,3,3,0.0012261098,0.0,4.1057317e-15,0.01375815,1.00566175e-30,True
1106.jpg,4,3,3,0.0,0.0,3.165459e-30,1.0,0.0,False
1107.jpg,3,3,3,0.0014558828,0.0,9.458666e-18,0.9909444,1.132293e-30,False
1107.jpg,4,3,3,7.047933e-18,3.3271756e-26,6.9768923e-16,0.9999993,1.5391275e-33,False
1108.jpg,4,2,3,2.3590729e-30,1.8603809e-22,7.3235284e-16,1.0,2.4191108e-30,False
1108.jpg,4,4,3,4.614749e-25,0.0,0.07832476,0.97458184,5.640108e-32,False
1109.jpg,1,2,1,9.1052515e-29,1.8230507e-08,1.9395185e-18,1.8665953e-09,1.8445113e-35,True
1109.jpg,4,1,1,1.7725403e-24,1.0,3.5552222e-22,3.6420686e-17,1.6871526e-27,False
111.jpg,3,3,3,7.0487643e-11,7.839448e-25,2.6732676e-18,1.0,1.56903735e-30,False
1110.jpg,3,4,3,1.8206296e-37,5.144659e-29,0.0,9.824555e-16,1.173776e-28,True
1110.jpg,4,0,2,1.2595698e-05,0.0,0.00026732503,3.4546756e-12,1.4758377e-36,True
1111.jpg,0,0,0,1.0,0.0,2.310728e-15,6.72311e-17,6.7510547e-37,False
1112.jpg,4,3,2,6.905187e-32,7.4471854e-21,0.9999995,0.005707807,2.3372509e-24,False
1112.jpg,4,3,2,1.5458302e-13,1.5739584e-31,0.0006630954,0.00014565895,8.7954025e-29,True
1114.jpg,4,1,1,9.188185e-30,1.0,3.4814304e-13,8.661356e-10,4.070527e-26,False
1114.jpg,4,3,3,1.624119e-24,0.0,6.5084535e-12,5.3451145e-06,1.7539495e-31,True
1114.jpg,4,3,3,0.0,2.202483e-22,1.1746175e-14,0.99999833,4.675671e-32,False
1115.jpg,1,4,3,2.8612902e-24,1.3653031e-19,1.5776738e-23,0.0033870733,1.3013664e-33,True
1115.jpg,4,4,0,8.62977e-12,1.934823e-36,0.0,7.424034e-30,1.5573431e-31,True
1115.jpg,4,1,1,0.0,1.0,0.0,2.5006024e-28,0.0,False
1116.jpg,4,3,3,2.4659696e-13,0.0,8.6417245e-20,0.050314818,1.7981478e-31,False
1116.jpg,4,4,3,0.0,7.6779355e-12,0.0,0.99999976,2.32928e-28,False
1116.jpg,4,2,3,1.2631116e-14,1.6141244e-33,1.7101321e-13,0.53187364,2.896076e-33,False
1117.jpg,4,2,3,6.2425527e-25,6.690762e-27,0.00086176733,0.981938,6.470108e-27,False
1117.jpg,4,4,3,8.137878e-07,0.0,1.19887366e-20,0.01895066,8.0983356e-32,True
1117.jpg,4,3,2,2.7637833e-07,1.5001786e-34,0.99967134,1.8646501e-06,2.0777876e-31,False
1118.jpg,4,0,0,1.0,1.3646871e-36,1.8387293e-07,2.8855375e-08,2.3388329e-36,False
1118.jpg,4,3,0,1.0,0.0,9.649638e-18,7.108613e-08,3.2293483e-28,False
1119.jpg,4,3,0,7.793797e-10,0.0,4.5830074e-20,3.444729e-11,2.0454006e-33,True
112.jpg,1,1,1,1.8425901e-29,0.9999999,0.9983398,6.253009e-12,4.2394393e-38,True
1120.jpg,1,1,1,2.435864e-36,1.0,0.0,4.0425729e-22,2.3529613e-30,False
1121.jpg,3,3,3,1.8601493e-34,6.2918047e-24,1.5655988e-31,2.458063e-12,3.2920486e-36,True
1121.jpg,4,1,1,4.104915e-39,1.3774268e-05,1.0591594e-31,1.286412e-13,1.3266836e-34,True
1123.jpg,0,3,0,1.0,3.3008467e-31,0.09792319,9.21582e-28,1.9270127e-31,False
1124.jpg,4,3,2,0.0,2.2237423e-28,1.0,1.0,1.4873944e-23,True
1124.jpg,4,3,2,1.2161207e-25,2.2192263e-35,0.010219718,1.0781513e-05,4.376336e-22,True
1127.jpg,4,3,3,1.8145944e-10,1.1681392e-20,2.9288158e-34,3.7918758e-07,4.537865e-34,True
1128.jpg,0,3,3,1.4420498e-16,9.706382e-33,4.870331e-12,0.9866188,3.359382e-24,False
1129.jpg,3,3,3,6.2075123e-37,3.033409e-39,1.1086945e-16,1.0,1.1264097e-27,False
113.jpg,3,3,0,0.94855684,3.983301e-37,1.0184505e-18,7.277504e-13,1.4981493e-33,False
1130.jpg,3,3,3,1.8147663e-19,1.9504806e-37,2.8521054e-06,1.0,0.0,False
1130.jpg,4,4,3,2.003306e-20,0.0,4.48975e-22,2.0179986e-08,1.3067502e-31,True
1132.jpg,4,4,3,2.1700269e-20,5.82969e-27,0.0,1.0267429e-05,4.6019872e-32,True
1133.jpg,4,3,3,2.2473788e-08,0.0,1.5289265e-27,0.00025721334,5.5444405e-29,True
1133.jpg,4,3,3,2.6122233e-29,1.7361255e-28,5.406653e-14,2.017786e-09,8.724189e-30,True
1134.jpg,4,4,1,4.734753e-34,2.2912802e-27,0.0,9.191221e-33,1.8507217e-34,True
1135.jpg,1,1,1,5.5881408e-36,1.0,0.0,9.877029e-28,0.0,False
1135.jpg,4,3,3,0.0,2.4946797e-25,1.1164872e-23,0.0029221035,1.2832697e-25,True
1136.jpg,0,3,3,1.2067975e-13,0.0,8.375002e-12,0.9665315,1.2459006e-33,False
1136.jpg,4,3,3,1.2267144e-20,3.4559198e-09,1.6989393e-12,0.106452145,2.4506665e-27,False
1137.jpg,0,0,3,0.00014019922,2.732612e-35,1.3636194e-15,0.9963356,6.2259685e-35,False
1137.jpg,4,4,0,0.012334712,0.0,2.9344686e-38,3.235976e-17,1.6015927e-34,True
1137.jpg,4,0,3,0.00014019922,2.732612e-35,1.3636194e-15,0.9963356,6.2259685e-35,False
1138.jpg,4,3,3,3.263502e-14,0.0,1.5186954e-20,0.99999607,2.0536188e-32,False
1139.jpg,2,3,3,4.2999017e-21,1.3800576e-36,5.419049e-19,1.9877515e-07,0.0,True
1139.jpg,4,2,2,2.776457e-22,9.097783e-30,1.0,1.0,4.4770073e-30,True
114.jpg,1,1,1,5.051314e-29,1.0,0.0,3.27421e-31,2.9285417e-38,False
1140.jpg,4,4,2,9.3571205e-37,1.913712e-36,0.92411506,4.596982e-07,1.07784684e-32,False
1140.jpg,4,4,3,0.0,1.18421674e-32,2.3515289e-20,4.444993e-17,8.1836935e-35,True
1140.jpg,4,4,3,8.4356657e-16,0.0,1.7155486e-17,0.80506855,1.2049558e-31,False
1141.jpg,1,1,1,1.8040748e-26,1.0,1.4381972e-33,4.448335e-39,1.0311353e-34,False
1141.jpg,4,3,3,1.0053233e-13,1.2997305e-16,3.3765022e-27,0.039911836,1.6526812e-31,False
1142.jpg,4,4,3,6.0756163e-37,3.923281e-37,9.438243e-38,4.0987203e-08,2.1242137e-32,True
1143.jpg,0,3,3,0.0,0.0,1.4599343e-11,1.4546526e-08,3.8569126e-26,True
1143.jpg,4,4,2,3.8253125e-38,7.7421105e-27,2.7939814e-19,9.4521456e-24,1.0083948e-34,True
1143.jpg,4,4,3,1.6907339e-28,4.0143983e-25,4.8064867e-13,3.8972276e-12,3.5164917e-33,True
1144.jpg,4,3,1,2.190158e-30,1.0,6.6090855e-33,2.3352778e-12,1.0533791e-35,False
1145.jpg,0,0,0,0.9964541,0.0,3.5762433e-19,0.015399545,1.1103731e-34,False
1145.jpg,4,3,3,3.187127e-20,0.0,0.0,6.211122e-19,4.6812857e-35,True
1146.jpg,2,2,2,5.439077e-26,0.0,0.99973017,0.0024980225,2.052064e-36,False
1146.jpg,4,2,2,3.181168e-32,3.828358e-26,1.0,0.1268103,2.0964343e-38,False
1147.jpg,4,3,3,2.2077292e-17,3.871438e-38,3.909443e-39,2.4533403e-13,3.0077588e-32,True
1148.jpg,4,3,1,1.2996713e-38,1.0,2.0851906e-36,3.4144794e-12,1.7635803e-35,False
1148.jpg,4,3,1,1.2996713e-38,1.0,2.0851906e-36,3.4144794e-12,1.7635803e-35,False
115.jpg,1,1,1,6.166309e-28,1.0,0.0,9.088835e-37,0.0,False
1150.jpg,4,1,1,7.4650723e-22,1.0,9.513228e-27,9.783874e-14,1.6084231e-22,False
1150.jpg,4,1,1,1.1424019e-30,1.0,1.4966466e-11,9.841382e-19,1.0284738e-23,False
1150.jpg,4,1,1,7.4650723e-22,1.0,9.513228e-27,9.783874e-14,1.6084231e-22,False
1151.jpg,4,2,2,6.127547e-36,2.2056979e-12,1.0,0.9971993,1.8927976e-26,True
1151.jpg,4,2,2,1.272583e-34,1.6292813e-17,1.0,0.32805747,4.2282286e-24,False
1151.jpg,4,2,2,6.127547e-36,2.2056979e-12,1.0,0.9971993,1.8927976e-26,True
1152.jpg,4,1,1,7.3787542e-28,1.0,3.2894122e-36,9.137616e-28,6.135894e-37,False
1152.jpg,4,1,1,7.3787542e-28,1.0,3.2894122e-36,9.137616e-28,6.135894e-37,False
1153.jpg,4,3,0,0.8177442,8.7702366e-30,5.4809347e-36,0.13422604,4.3448352e-35,False
1153.jpg,4,2,2,0.0,3.6084938e-31,0.9999999,3.849961e-14,5.9300826e-35,False
1153.jpg,4,3,0,0.8177442,8.7702366e-30,5.4809347e-36,0.13422604,4.3448352e-35,False
1154.jpg,4,3,3,0.0002340992,0.0,3.5798853e-09,0.52128214,2.6961946e-28,False
1154.jpg,4,1,1,2.2995574e-25,7.262453e-11,0.0,5.34088e-26,4.5190558e-33,True
1154.jpg,4,1,1,2.2995574e-25,7.262453e-11,0.0,5.34088e-26,4.5190558e-33,True
1155.jpg,1,3,1,0.0,0.00034639818,3.5087735e-33,3.3144494e-05,1.0623906e-27,True
1155.jpg,4,3,1,0.0,0.00034639818,3.5087735e-33,3.3144494e-05,1.0623906e-27,True
1156.jpg,2,2,2,2.8430584e-29,6.964726e-20,1.0,3.681645e-08,2.846429e-32,False
1156.jpg,4,2,2,1.1358094e-31,7.0585837e-34,1.0,1.1493329e-06,6.437718e-39,False
1157.jpg,0,0,0,1.0,0.0,4.484315e-26,7.959952e-11,3.2526343e-32,False
1157.jpg,4,3,3,0.0,1.1822272e-23,1.5570964e-20,0.0055848225,4.42337e-27,True
1158.jpg,4,3,3,1.6673819e-20,8.499473e-28,7.078924e-17,9.986497e-05,8.9641175e-30,True
1159.jpg,2,3,3,1.3986709e-36,6.1285546e-09,0.0,0.99382895,9.311145e-31,False
1159.jpg,4,3,1,0.0,6.282737e-17,0.0,1.9526852e-21,1.4164031e-32,True
116.jpg,0,4,1,0.0,6.9069295e-16,5.480631e-25,4.8423995e-25,2.6285687e-35,True
1160.jpg,4,3,3,3.98273e-19,1.4203131e-12,0.27018264,0.9999616,1.0660789e-23,False
1160.jpg,4,3,3,3.98273e-19,1.4203131e-12,0.27018264,0.9999616,1.0660789e-23,False
1161.jpg,1,2,1,1.8852319e-18,1.0,1.8348878e-11,5.3770977e-21,7.3529785e-38,False
